"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"70","Brescia",356,575,59.3333333333333,95.8333333333333,104.666666666667,36.9666666666667,6,0,0,6
"71","Brevard",260,351,65,87.75,42,156.916666666667,4,0,0,4
"72","Brewton-Parker",137,160,68.5,80,12.5,50,2,0,0,2
"73","Bridgewater VA",86,112,86,112,0,0,1,0,0,1
"74","Bristol",308,477,61.6,95.4,140.8,86.8,5,0,0,5
"75","Brown",5725,5793,66.5697674418605,67.3604651162791,117.30683994528,111.174418604651,46,40,0.465116279069767,86
"76","Bryant",6632,6540,71.3118279569892,70.3225806451613,150.32561944834,124.460028050491,40,53,0.56989247311828,93
"77","Bucknell",6337,5985,67.4148936170213,63.6702127659574,98.976549988561,107.96533973919,33,61,0.648936170212766,94
"78","Buffalo",6494,6176,71.3626373626374,67.8681318681319,119.2336996337,105.071306471306,39,52,0.571428571428571,91
"79","Butler",6411,5926,68.9354838709677,63.7204301075269,135.104488078541,124.007947639084,34,59,0.634408602150538,93
"80","BYU",7988,7166,81.5102040816327,73.1224489795918,150.932884494004,160.376604249947,30,68,0.693877551020408,98
"81","Cairn",48,107,48,107,0,0,1,0,0,1
"82","Caldwell",134,141,67,70.5,32,684.5,1,1,0.5,2
"83","California",6536,6362,68.8,66.9684210526316,127.608510638298,132.79686450168,38,57,0.6,95
"84","Cal Lutheran",61,76,61,76,0,0,1,0,0,1
"85","Cal Maritime",41,78,41,78,0,0,1,0,0,1
"86","Cal Poly SLO",5540,5490,62.9545454545455,62.3863636363636,96.2507836990596,122.860501567398,47,41,0.465909090909091,88
"87","Cal St-LA",67,77,67,77,0,0,1,0,0,1
"88","Cameron",245,298,61.25,74.5,32.9166666666667,57.6666666666667,4,0,0,4
"89","Campbell",6125,6466,66.5760869565217,70.2826086956522,140.576564739608,123.765408504539,60,32,0.347826086956522,92
"90","Campbellsville",123,151,61.5,75.5,84.5,24.5,2,0,0,2
"91","Canisius",6665,6404,71.6666666666667,68.8602150537634,142.311594202899,144.947639083684,38,55,0.591397849462366,93
"92","Capital",46,69,46,69,0,0,1,0,0,1
"93","Carroll MT",267,400,53.4,80,36.8,17,5,0,0,5
"94","Case Western",65,88,65,88,0,0,1,0,0,1
"95","Catawba",121,187,60.5,93.5,144.5,60.5,2,0,0,2
"96","Catholic",141,189,70.5,94.5,40.5,112.5,2,0,0,2
"97","Cedarville",116,147,58,73.5,0,60.5,2,0,0,2
"98","Cent Arkansas",6075,6887,71.4705882352941,81.0235294117647,234.918767507003,162.285154061625,64,21,0.247058823529412,85
"99","Centenary",187,324,62.3333333333333,108,33.3333333333333,39,3,0,0,3
"100","Cent Methodist",58,90,58,90,0,0,1,0,0,1
"101","Central Bap",244,369,61,92.25,95.3333333333333,318.916666666667,4,0,0,4
"102","Central Conn",6137,6803,67.4395604395604,74.7582417582418,115.426862026862,135.185347985348,62,29,0.318681318681319,91
"103","Central Penn",650,1010,72.2222222222222,112.222222222222,34.4444444444444,115.944444444444,9,0,0,9
"104","Chadron St",42,87,42,87,0,0,1,0,0,1
"105","Chaminade",586,753,73.25,94.125,94.7857142857143,254.410714285714,8,0,0,8
"106","Champion Bap",424,896,53,112,644.857142857143,67.7142857142857,8,0,0,8
"107","Chapman",36,87,36,87,0,0,1,0,0,1
"108","Charleston So",6522,5977,75.8372093023256,69.5,248.86730506156,164.911764705882,40,46,0.534883720930233,86
"109","Charlotte",6617,6559,71.1505376344086,70.5268817204301,114.064048620851,155.83894343151,42,51,0.548387096774194,93
"110","Chattanooga",6689,6601,71.9247311827957,70.9784946236559,188.352968676952,155.282141187471,42,51,0.548387096774194,93
"111","Chestnut Hill",67,75,67,75,0,0,1,0,0,1
"112","Cheyney St",68,90,68,90,0,0,1,0,0,1
"113","Chicago St",5704,6382,63.3777777777778,70.9111111111111,161.361298377029,161.115605493134,64,26,0.288888888888889,90
"114","Chowan",232,333,58,83.25,88.6666666666667,237.583333333333,3,1,0.25,4
"115","Cincinnati",6359,5527,66.2395833333333,57.5729166666667,177.994627192982,69.1735745614035,26,70,0.729166666666667,96
"116","Cincinnati Chr",267,353,66.75,88.25,110.25,57.5833333333333,4,0,0,4
"117","Cin Clermont",103,222,51.5,111,4.5,32,2,0,0,2
"118","Citadel",5846,6535,64.9555555555555,72.6111111111111,146.177777777778,106.083021223471,66,24,0.266666666666667,90
"119","City Col NY",60,99,60,99,0,0,1,0,0,1
"120","Claflin",70,75,70,75,0,0,1,0,0,1
"121","Clayton St",46,59,46,59,0,0,1,0,0,1
"122","Clearwater Chr",54,106,54,106,0,0,1,0,0,1
"123","Clemson",5809,5573,62.4623655913978,59.9247311827957,117.446937821412,113.766012155213,44,49,0.526881720430108,93
"124","Cleveland St",6305,6115,67.7956989247312,65.752688172043,156.251285647499,132.144693782141,43,50,0.537634408602151,93
"125","C Michigan",6615,6476,72.6923076923077,71.1648351648352,213.504273504273,144.272527472527,48,43,0.472527472527473,91
"126","Coastal Car",6452,5988,70.1304347826087,65.0869565217391,114.861920688008,152.190157668419,36,56,0.608695652173913,92
"127","Coast Guard",96,161,48,80.5,0,312.5,2,0,0,2
"128","Coe",52,86,52,86,0,0,1,0,0,1
"129","Coker",106,146,53,73,2,50,2,0,0,2
"130","Col Charleston",5920,5966,62.3157894736842,62.8,142.431131019037,116.651063829787,50,45,0.473684210526316,95
"131","Colgate",6368,6438,66.3333333333333,67.0625,135.80350877193,118.711842105263,56,40,0.416666666666667,96
"132","College of Faith",65,123,65,123,0,0,1,0,0,1
"133","Colorado",6640,6371,69.1666666666667,66.3645833333333,203.550877192982,135.244627192982,38,58,0.604166666666667,96
"134","Colorado Chr",230,339,57.5,84.75,141.666666666667,168.916666666667,4,0,0,4
"135","Colorado Col",57,96,57,96,0,0,1,0,0,1
"136","Colorado St",6833,6159,72.6914893617021,65.5212765957447,129.097346145047,116.424273621597,29,65,0.691489361702128,94
"137","Col Springs",70,99,70,99,0,0,1,0,0,1
"138","Columbia",5530,5295,65.0588235294118,62.2941176470588,151.627450980392,120.638655462185,43,42,0.494117647058824,85
"139","Columbia Intl",206,384,51.5,96,22.3333333333333,124.666666666667,4,0,0,4
"140","Columbus St",56,76,56,76,0,0,1,0,0,1
"141","Concordia AL",79,70,79,70,0,0,0,1,1,1
"142","Concordia MI",152,292,50.6666666666667,97.3333333333333,81.3333333333333,6.33333333333333,3,0,0,3
"143","Concordia OR",122,181,61,90.5,8,24.5,2,0,0,2
"144","Concordia SP",59,64,59,64,0,0,1,0,0,1
"145","Connecticut",6721,6141,68.5816326530612,62.6632653061224,152.596360193562,112.184409846413,32,66,0.673469387755102,98
"146","Coppin St",6309,7071,67.8387096774194,76.0322580645161,167.41935483871,189.727208976157,66,27,0.290322580645161,93
"147","Corban",62,86,62,86,0,0,1,0,0,1
"148","Cornell",5600,6117,63.6363636363636,69.5113636363636,142.394984326019,156.298719958203,61,27,0.306818181818182,88
"149","Covenant",56,119,56,119,0,0,1,0,0,1
"150","Creighton",7212,6416,74.3505154639175,66.1443298969072,172.334192439863,98.8122852233677,33,64,0.65979381443299,97
"151","Crowley's Ridge",255,336,63.75,84,238.25,128.666666666667,4,0,0,4
"152","CS Bakersfield",6014,6028,66.0879120879121,66.2417582417582,158.458852258852,142.20757020757,54,37,0.406593406593407,91
"153","CS Dom. Hills",99,157,49.5,78.5,0.5,84.5,2,0,0,2
"154","CS Fullerton",6275,6551,68.956043956044,71.989010989011,170.442490842491,127.5221001221,59,32,0.351648351648352,91
"155","CS Northridge",6957,7214,71.7216494845361,74.3711340206186,155.119630584192,108.089991408935,59,38,0.391752577319588,97
"156","CS Sacramento",5969,5959,67.8295454545455,67.7159090909091,112.786703239289,128.182732497388,42,46,0.522727272727273,88
"157","CSU East Bay",96,157,48,78.5,18,4.5,2,0,0,2
"158","Dakota St",62,88,62,88,0,0,1,0,0,1
"159","Dallas Bap",108,150,54,75,2,72,2,0,0,2
"160","Dallas Chr",113,196,56.5,98,312.5,200,2,0,0,2
"161","Dalton St",118,178,59,89,8,32,2,0,0,2
"162","Daniel Webster",97,193,48.5,96.5,4.5,60.5,2,0,0,2
"163","Dartmouth",5307,5408,63.9397590361446,65.1566265060241,125.740229209521,100.523949456362,49,34,0.409638554216867,83
"164","Davidson",7105,6265,77.2282608695652,68.0978260869565,161.518752986144,208.133182035356,26,66,0.717391304347826,92
"165","Dayton",6831,6236,71.15625,64.9583333333333,111.291118421053,114.777192982456,31,65,0.677083333333333,96
"166","Defiance",66,87,66,87,0,0,1,0,0,1
"167","Delaware",6840,6876,72,72.3789473684211,134.276595744681,98.4718924972004,42,53,0.557894736842105,95
"168","Delaware St",5937,6262,63.8387096774194,67.3333333333333,199.028050490884,192.13768115942,55,38,0.408602150537634,93
"169","Denver",5804,5488,64.4888888888889,60.9777777777778,135.286392009988,117.90961298377,41,49,0.544444444444444,90
"170","DePaul",6737,7174,70.1770833333333,74.7291666666667,118.54725877193,118.094298245614,61,35,0.364583333333333,96
"171","Detroit",6865,6683,73.031914893617,71.0957446808511,145.149508121711,139.958476321208,48,46,0.48936170212766,94
"172","Dickinson St ND",48,78,48,78,0,0,1,0,0,1
"173","Dillard",363,531,60.5,88.5,125.5,170.7,6,0,0,6
"174","Drake",6026,6307,66.2197802197802,69.3076923076923,156.017826617827,109.77094017094,54,37,0.406593406593407,91
