Date,Team,Team Score,Opponent,Opponent Score,Team Result
08-11-2013,Illinois,80,Alabama St,63,Win
08-11-2013,Alabama St,63,Illinois,80,Loss
08-11-2013,Mississippi St,71,Prairie View,56,Win
08-11-2013,Prairie View,56,Mississippi St,71,Loss
08-11-2013,Kansas,80,ULM,63,Win
08-11-2013,ULM,63,Kansas,80,Loss
08-11-2013,Loyola MD,79,Binghamton,74,Win
08-11-2013,Binghamton,74,Loyola MD,79,Loss
08-11-2013,Marshall,85,S Carolina St,69,Win
08-11-2013,S Carolina St,69,Marshall,85,Loss
08-11-2013,Marquette,63,Southern Univ,56,Win
08-11-2013,Southern Univ,56,Marquette,63,Loss
08-11-2013,Sam Houston St,77,TX Pan American,73,Win
08-11-2013,TX Pan American,73,Sam Houston St,77,Loss
08-11-2013,West Virginia,77,Mt St Mary's,62,Win
08-11-2013,Mt St Mary's,62,West Virginia,77,Loss
08-11-2013,SF Austin,90,UT Tyler,64,Win
08-11-2013,UT Tyler,64,SF Austin,90,Loss
08-11-2013,Samford,79,Martin Meth,62,Win
08-11-2013,Martin Meth,62,Samford,79,Loss
08-11-2013,Mississippi,69,Troy,54,Win
08-11-2013,Troy,54,Mississippi,69,Loss
08-11-2013,Texas Tech,76,Houston Bap,61,Win
08-11-2013,Houston Bap,61,Texas Tech,76,Loss
08-11-2013,Loyola-Chicago,76,WI Milwaukee,72,Win
08-11-2013,WI Milwaukee,72,Loyola-Chicago,76,Loss
08-11-2013,Liberty,74,Randolph Col,53,Win
08-11-2013,Randolph Col,53,Liberty,74,Loss
08-11-2013,NE Omaha,68,N Illinois,66,Win
08-11-2013,N Illinois,66,NE Omaha,68,Loss
08-11-2013,N Dakota St,93,Viterbo,49,Win
08-11-2013,Viterbo,49,N Dakota St,93,Loss
08-11-2013,Utah,128,Evergreen St,44,Win
08-11-2013,Evergreen St,44,Utah,128,Loss
08-11-2013,UAB,76,Columbus St,56,Win
08-11-2013,Columbus St,56,UAB,76,Loss
08-11-2013,Auburn,76,Nicholls St,54,Win
08-11-2013,Nicholls St,54,Auburn,76,Loss
08-11-2013,Arizona St,96,UMBC,61,Win
08-11-2013,UMBC,61,Arizona St,96,Loss
08-11-2013,Arkansas,99,Edwardsville,65,Win
08-11-2013,Edwardsville,65,Arkansas,99,Loss
08-11-2013,Youngstown St,73,Kennesaw,57,Win
08-11-2013,Kennesaw,57,Youngstown St,73,Loss
08-11-2013,Furman,66,Sewanee,49,Win
08-11-2013,Sewanee,49,Furman,66,Loss
08-11-2013,Loy Marymount,78,Grand Canyon,75,Win
08-11-2013,Grand Canyon,75,Loy Marymount,78,Loss
08-11-2013,Elon,114,Wash & Lee,64,Win
08-11-2013,Wash & Lee,64,Elon,114,Loss
08-11-2013,Oklahoma St,117,MS Valley St,62,Win
08-11-2013,MS Valley St,62,Oklahoma St,117,Loss
