Date,Team,Team Score,Opponent,Opponent Score,Team Result
08-11-2013,Creighton,107,Alcorn St,61,Win
08-11-2013,Alcorn St,61,Creighton,107,Loss
08-11-2013,Texas A&M,82,Buffalo,58,Win
08-11-2013,Buffalo,58,Texas A&M,82,Loss
08-11-2013,Villanova,75,Lafayette,59,Win
08-11-2013,Lafayette,59,Villanova,75,Loss
08-11-2013,Bradley,72,Jacksonville St,65,Win
08-11-2013,Jacksonville St,65,Bradley,72,Loss
08-11-2013,Florida St,91,Jacksonville,67,Win
08-11-2013,Jacksonville,67,Florida St,91,Loss
08-11-2013,East Carolina,97,NC Wesleyan,51,Win
08-11-2013,NC Wesleyan,51,East Carolina,97,Loss
08-11-2013,Missouri,89,SE Louisiana,53,Win
08-11-2013,SE Louisiana,53,Missouri,89,Loss
08-11-2013,Houston,76,Texas St,70,Win
08-11-2013,Texas St,70,Houston,76,Loss
08-11-2013,Portland,100,UC Davis,83,Win
08-11-2013,UC Davis,83,Portland,100,Loss
08-11-2013,CS Northridge,86,Hope Intl,74,Win
08-11-2013,Hope Intl,74,CS Northridge,86,Loss
08-11-2013,Hawaii,85,Tennessee St,55,Win
08-11-2013,Tennessee St,55,Hawaii,85,Loss
08-11-2013,CS Sacramento,73,UC Santa Cruz,43,Win
08-11-2013,UC Santa Cruz,43,CS Sacramento,73,Loss
08-11-2013,St Francis NY,66,Miami FL,62,Win
08-11-2013,Miami FL,62,St Francis NY,66,Loss
08-11-2013,San Diego,74,S Dakota St,70,Win
08-11-2013,S Dakota St,70,San Diego,74,Loss
08-11-2013,Santa Barbara,76,Hawaii Pacific,50,Win
08-11-2013,Hawaii Pacific,50,Santa Barbara,76,Loss
08-11-2013,San Francisco,95,Notre Dame CA,57,Win
08-11-2013,Notre Dame CA,57,San Francisco,95,Loss
08-11-2013,W Carolina,77,Wittenberg,55,Win
08-11-2013,Wittenberg,55,W Carolina,77,Loss
08-11-2013,North Texas,72,Northwood TX,67,Win
08-11-2013,Northwood TX,67,North Texas,72,Loss
08-11-2013,Santa Clara,84,Bethesda,39,Win
08-11-2013,Bethesda,39,Santa Clara,84,Loss
08-11-2013,Charleston So,130,Johnson Bib,51,Win
08-11-2013,Johnson Bib,51,Charleston So,130,Loss
08-11-2013,California,83,Coppin St,64,Win
08-11-2013,Coppin St,64,California,83,Loss
08-11-2013,St Mary's CA,83,Louisiana Tech,70,Win
08-11-2013,Louisiana Tech,70,St Mary's CA,83,Loss
08-11-2013,W Michigan,70,New Mexico St,64,Win
08-11-2013,New Mexico St,64,W Michigan,70,Loss
08-11-2013,UCLA,72,Drexel,67,Win
08-11-2013,Drexel,67,UCLA,72,Loss
08-11-2013,Fresno St,98,UC Irvine,97,Win
08-11-2013,UC Irvine,97,Fresno St,98,Loss
08-11-2013,North Carolina,84,Oakland,61,Win
08-11-2013,Oakland,61,North Carolina,84,Loss
08-11-2013,Valparaiso,77,Murray St,74,Win
08-11-2013,Murray St,74,Valparaiso,77,Loss
08-11-2013,N Colorado,60,Kansas St,58,Win
08-11-2013,Kansas St,58,N Colorado,60,Loss
08-11-2013,Southern Utah,85,Arizona Chr,78,Win
08-11-2013,Arizona Chr,78,Southern Utah,85,Loss
08-11-2013,UCF,97,Tampa,72,Win
08-11-2013,Tampa,72,UCF,97,Loss
08-11-2013,TAM C. Christi,79,Huston-Tillot,45,Win
08-11-2013,Huston-Tillot,45,TAM C. Christi,79,Loss
08-11-2013,Southern Miss,67,Jackson St,51,Win
08-11-2013,Jackson St,51,Southern Miss,67,Loss
08-11-2013,Northwestern LA,92,Le Tourneau,76,Win
08-11-2013,Le Tourneau,76,Northwestern LA,92,Loss
08-11-2013,Stanford,72,Bucknell,68,Win
08-11-2013,Bucknell,68,Stanford,72,Loss
08-11-2013,Arizona,73,Cal Poly SLO,62,Win
08-11-2013,Cal Poly SLO,62,Arizona,73,Loss
08-11-2013,Washington St,62,CS Bakersfield,56,Win
08-11-2013,CS Bakersfield,56,Washington St,62,Loss
08-11-2013,Boise St,116,UT Arlington,87,Win
08-11-2013,UT Arlington,87,Boise St,116,Loss
08-11-2013,Utah St,78,USC,65,Win
08-11-2013,USC,65,Utah St,78,Loss
08-11-2013,Tulane,75,NJIT,64,Win
08-11-2013,NJIT,64,Tulane,75,Loss
08-11-2013,Iowa,82,UNC Wilmington,39,Win
08-11-2013,UNC Wilmington,39,Iowa,82,Loss
08-11-2013,Utah Valley,74,IUPUI,66,Win
08-11-2013,IUPUI,66,Utah Valley,74,Loss
08-11-2013,Rhode Island,97,Maine,77,Win
08-11-2013,Maine,77,Rhode Island,97,Loss
08-11-2013,BYU,81,Weber St,72,Win
08-11-2013,Weber St,72,BYU,81,Loss
08-11-2013,SMU,69,TCU,61,Win
08-11-2013,TCU,61,SMU,69,Loss
08-11-2013,San Diego St,77,UC Riverside,41,Win
08-11-2013,UC Riverside,41,San Diego St,77,Loss
08-11-2013,Wyoming,78,TN Martin,60,Win
08-11-2013,TN Martin,60,Wyoming,78,Loss
08-11-2013,Wisconsin,86,St John's,75,Win
08-11-2013,St John's,75,Wisconsin,86,Loss
08-11-2013,Baylor,72,Colorado,60,Win
08-11-2013,Colorado,60,Baylor,72,Loss
08-11-2013,Austin Peay,84,Oakland City,69,Win
08-11-2013,Oakland City,69,Austin Peay,84,Loss
08-11-2013,Air Force,79,Army,68,Win
08-11-2013,Army,68,Air Force,79,Loss
08-11-2013,Chattanooga,119,Covenant,56,Win
08-11-2013,Covenant,56,Chattanooga,119,Loss
08-11-2013,E Kentucky,83,Florida Intl,61,Win
08-11-2013,Florida Intl,61,E Kentucky,83,Loss
08-11-2013,Connecticut,78,Maryland,77,Win
08-11-2013,Maryland,77,Connecticut,78,Loss
08-11-2013,Providence,82,Boston College,78,Win
08-11-2013,Boston College,78,Providence,82,Loss
08-11-2013,UNLV,67,Portland St,48,Win
08-11-2013,Portland St,48,UNLV,67,Loss
08-11-2013,Florida,77,North Florida,69,Win
08-11-2013,North Florida,69,Florida,77,Loss
08-11-2013,VMI,82,Citadel,71,Win
08-11-2013,Citadel,71,VMI,82,Loss
08-11-2013,Pacific,80,Nevada,78,Win
08-11-2013,Nevada,78,Pacific,80,Loss
08-11-2013,Oklahoma,82,Alabama,73,Win
08-11-2013,Alabama,73,Oklahoma,82,Loss
08-11-2013,E Michigan,77,Albion,45,Win
08-11-2013,Albion,45,E Michigan,77,Loss
08-11-2013,Cincinnati,74,NC Central,61,Win
08-11-2013,NC Central,61,Cincinnati,74,Loss
08-11-2013,George Mason,63,American Univ,60,Win
08-11-2013,American Univ,60,George Mason,63,Loss
08-11-2013,Fordham,87,St Francis PA,67,Win
08-11-2013,St Francis PA,67,Fordham,87,Loss
08-11-2013,NC State,98,Appalachian St,77,Win
08-11-2013,Appalachian St,77,NC State,98,Loss
08-11-2013,G Washington,76,Radford,54,Win
08-11-2013,Radford,54,G Washington,76,Loss
08-11-2013,C Michigan,101,Manchester,49,Win
08-11-2013,Manchester,49,C Michigan,101,Loss
08-11-2013,Akron,72,Coastal Car,63,Win
08-11-2013,Coastal Car,63,Akron,72,Loss
08-11-2013,St Louis,87,SE Missouri St,64,Win
08-11-2013,SE Missouri St,64,St Louis,87,Loss
08-11-2013,Minnesota,81,Lehigh,62,Win
08-11-2013,Lehigh,62,Minnesota,81,Loss
08-11-2013,Nebraska,79,FL Gulf Coast,55,Win
08-11-2013,FL Gulf Coast,55,Nebraska,79,Loss
08-11-2013,Emporia St,81,Missouri KC,76,Win
08-11-2013,Missouri KC,76,Emporia St,81,Loss
08-11-2013,Charlotte,80,ETSU,75,Win
08-11-2013,ETSU,75,Charlotte,80,Loss
08-11-2013,Monmouth NJ,88,Hofstra,84,Win
08-11-2013,Hofstra,84,Monmouth NJ,88,Loss
08-11-2013,South Alabama,74,Detroit,58,Win
08-11-2013,Detroit,58,South Alabama,74,Loss
08-11-2013,Stony Brook,71,Marist,55,Win
08-11-2013,Marist,55,Stony Brook,71,Loss
08-11-2013,Oregon,82,Georgetown,75,Win
08-11-2013,Georgetown,75,Oregon,82,Loss
08-11-2013,Kent,84,Ohio Northern,48,Win
08-11-2013,Ohio Northern,48,Kent,84,Loss
08-11-2013,VA Commonwealth,96,Illinois St,58,Win
08-11-2013,Illinois St,58,VA Commonwealth,96,Loss
08-11-2013,NC A&T,91,Greensboro,64,Win
08-11-2013,Greensboro,64,NC A&T,91,Loss
08-11-2013,UNC Greensboro,82,High Point,74,Win
08-11-2013,High Point,74,UNC Greensboro,82,Loss
08-11-2013,Campbell,87,Shenandoah,62,Win
08-11-2013,Shenandoah,62,Campbell,87,Loss
08-11-2013,Missouri St,79,Old Dominion,67,Win
08-11-2013,Old Dominion,67,Missouri St,79,Loss
08-11-2013,Hampton,77,William & Mary,69,Win
08-11-2013,William & Mary,69,Hampton,77,Loss
08-11-2013,FL Atlantic,86,Ave Maria,51,Win
08-11-2013,Ave Maria,51,FL Atlantic,86,Loss
08-11-2013,Georgia Tech,88,Presbyterian,57,Win
08-11-2013,Presbyterian,57,Georgia Tech,88,Loss
08-11-2013,Colorado St,99,Col Springs,70,Win
08-11-2013,Col Springs,70,Colorado St,99,Loss
08-11-2013,Rutgers,92,Florida A&M,84,Win
08-11-2013,Florida A&M,84,Rutgers,92,Loss
08-11-2013,Towson,72,Navy,45,Win
08-11-2013,Navy,45,Towson,72,Loss
08-11-2013,Purdue,77,N Kentucky,76,Win
08-11-2013,N Kentucky,76,Purdue,77,Loss
08-11-2013,TX Southern,95,Norfolk St,83,Win
08-11-2013,Norfolk St,83,TX Southern,95,Loss
08-11-2013,Xavier,83,Gardner Webb,59,Win
08-11-2013,Gardner Webb,59,Xavier,83,Loss
08-11-2013,Albany NY,74,Siena,62,Win
08-11-2013,Siena,62,Albany NY,74,Loss
08-11-2013,Belmont,87,Lipscomb,83,Win
08-11-2013,Lipscomb,83,Belmont,87,Loss
08-11-2013,Michigan St,98,McNeese St,56,Win
08-11-2013,McNeese St,56,Michigan St,98,Loss
08-11-2013,Kentucky,89,UNC Asheville,57,Win
08-11-2013,UNC Asheville,57,Kentucky,89,Loss
08-11-2013,Duke,111,Davidson,77,Win
08-11-2013,Davidson,77,Duke,111,Loss
08-11-2013,Michigan,69,MA Lowell,42,Win
08-11-2013,MA Lowell,42,Michigan,69,Loss
08-11-2013,Georgia,72,Wofford,52,Win
08-11-2013,Wofford,52,Georgia,72,Loss
08-11-2013,Howard,69,Washington MD,52,Win
08-11-2013,Washington MD,52,Howard,69,Loss
08-11-2013,Notre Dame,74,Miami OH,62,Win
08-11-2013,Miami OH,62,Notre Dame,74,Loss
08-11-2013,Indiana,100,Chicago St,72,Win
08-11-2013,Chicago St,72,Indiana,100,Loss
08-11-2013,Texas,76,Mercer,73,Win
08-11-2013,Mercer,73,Texas,76,Loss
08-11-2013,Clemson,71,Stetson,51,Win
08-11-2013,Stetson,51,Clemson,71,Loss
08-11-2013,Virginia,61,James Madison,41,Win
08-11-2013,James Madison,41,Virginia,61,Loss
08-11-2013,Richmond,71,Delaware,69,Win
08-11-2013,Delaware,69,Richmond,71,Loss
08-11-2013,F Dickinson,89,Caldwell,71,Win
08-11-2013,Caldwell,71,F Dickinson,89,Loss
08-11-2013,Wake Forest,89,Colgate,78,Win
08-11-2013,Colgate,78,Wake Forest,89,Loss
08-11-2013,Pittsburgh,88,Savannah St,55,Win
08-11-2013,Savannah St,55,Pittsburgh,88,Loss
08-11-2013,Syracuse,82,Cornell,60,Win
08-11-2013,Cornell,60,Syracuse,82,Loss
09-11-2013,Drake,61,IL Chicago,59,Win
09-11-2013,IL Chicago,59,Drake,61,Loss
09-11-2013,New Hampshire,94,Suffolk,70,Win
09-11-2013,Suffolk,70,New Hampshire,94,Loss
09-11-2013,Robert Morris,86,Savannah St,66,Win
09-11-2013,Savannah St,66,Robert Morris,86,Loss
09-11-2013,DePaul,96,Grambling,58,Win
09-11-2013,Grambling,58,DePaul,96,Loss
09-11-2013,Northern Arizona,74,UT San Antonio,63,Win
09-11-2013,UT San Antonio,63,Northern Arizona,74,Loss
09-11-2013,Pepperdine,81,San Diego Chr,68,Win
09-11-2013,San Diego Chr,68,Pepperdine,81,Loss
09-11-2013,Fairfield,67,Sacred Heart,54,Win
09-11-2013,Sacred Heart,54,Fairfield,67,Loss
09-11-2013,Seton Hall,83,Niagara,72,Win
09-11-2013,Niagara,72,Seton Hall,83,Loss
09-11-2013,Chicago St,77,Urbana,52,Win
09-11-2013,Urbana,52,Chicago St,77,Loss
09-11-2013,Yale,93,Central Conn,77,Win
09-11-2013,Central Conn,77,Yale,93,Loss
09-11-2013,Loy Marymount,98,S Dakota St,89,Win
09-11-2013,S Dakota St,89,Loy Marymount,98,Loss
09-11-2013,St Joseph's PA,74,Vermont,64,Win
09-11-2013,Vermont,64,St Joseph's PA,74,Loss
09-11-2013,St Bonaventure,68,South Dakota,46,Win
09-11-2013,South Dakota,46,St Bonaventure,68,Loss
09-11-2013,Columbia,73,MD E Shore,54,Win
09-11-2013,MD E Shore,54,Columbia,73,Loss
09-11-2013,ULL,101,Louisiana Col,67,Win
09-11-2013,Louisiana Col,67,ULL,101,Loss
09-11-2013,Incarnate Word,88,Northwood TX,72,Win
09-11-2013,Northwood TX,72,Incarnate Word,88,Loss
09-11-2013,Hawaii,78,W Michigan,68,Win
09-11-2013,W Michigan,68,Hawaii,78,Loss
09-11-2013,New Mexico St,70,Tennessee St,55,Win
09-11-2013,Tennessee St,55,New Mexico St,70,Loss
09-11-2013,Army,84,Citadel,69,Win
09-11-2013,Citadel,69,Army,84,Loss
09-11-2013,WI Green Bay,71,N Michigan,49,Win
09-11-2013,N Michigan,49,WI Green Bay,71,Loss
09-11-2013,VMI,71,Air Force,63,Win
09-11-2013,Air Force,63,VMI,71,Loss
09-11-2013,Toledo,102,Northwestern OH,55,Win
09-11-2013,Northwestern OH,55,Toledo,102,Loss
09-11-2013,CS Fullerton,84,Montana St,55,Win
09-11-2013,Montana St,55,CS Fullerton,84,Loss
09-11-2013,San Diego,70,Grand Canyon,59,Win
09-11-2013,Grand Canyon,59,San Diego,70,Loss
09-11-2013,Northwestern,72,E Illinois,55,Win
09-11-2013,E Illinois,55,Northwestern,72,Loss
09-11-2013,UTEP,84,Loyola NO,49,Win
09-11-2013,Loyola NO,49,UTEP,84,Loss
09-11-2013,Idaho St,99,Evergreen St,62,Win
09-11-2013,Evergreen St,62,Idaho St,99,Loss
09-11-2013,New Mexico,88,Alabama A&M,52,Win
09-11-2013,Alabama A&M,52,New Mexico,88,Loss
09-11-2013,Idaho,67,W Illinois,63,Win
09-11-2013,W Illinois,63,Idaho,67,Loss
09-11-2013,Louisville,70,Col Charleston,48,Win
09-11-2013,Col Charleston,48,Louisville,70,Loss
09-11-2013,South Carolina,82,Longwood,44,Win
09-11-2013,Longwood,44,South Carolina,82,Loss
09-11-2013,Morehead St,107,Mid-Continent,60,Win
09-11-2013,Mid-Continent,60,Morehead St,107,Loss
09-11-2013,Evansville,87,Martin Meth,69,Win
09-11-2013,Martin Meth,69,Evansville,87,Loss
09-11-2013,Indiana St,82,Ball St,73,Win
09-11-2013,Ball St,73,Indiana St,82,Loss
09-11-2013,Georgia St,97,Southern Poly,78,Win
09-11-2013,Southern Poly,78,Georgia St,97,Loss
09-11-2013,Bethune-Cookman,91,Trinity Bap,74,Win
09-11-2013,Trinity Bap,74,Bethune-Cookman,91,Loss
09-11-2013,Ohio,75,Northern Iowa,64,Win
09-11-2013,Northern Iowa,64,Ohio,75,Loss
09-11-2013,Ohio St,89,Morgan St,50,Win
09-11-2013,Morgan St,50,Ohio St,89,Loss
09-11-2013,South Florida,72,Tennessee Tech,62,Win
09-11-2013,Tennessee Tech,62,South Florida,72,Loss
09-11-2013,Penn St,74,Wagner,62,Win
09-11-2013,Wagner,62,Penn St,74,Loss
09-11-2013,Long Island,87,St Peter's,80,Win
09-11-2013,St Peter's,80,Long Island,87,Loss
09-11-2013,Dayton,81,IPFW,80,Win
09-11-2013,IPFW,80,Dayton,81,Loss
09-11-2013,SC Upstate,64,Virginia Tech,63,Win
09-11-2013,Virginia Tech,63,SC Upstate,64,Loss
09-11-2013,Bowling Green,102,Earlham,49,Win
09-11-2013,Earlham,49,Bowling Green,102,Loss
09-11-2013,Butler,89,Lamar,58,Win
09-11-2013,Lamar,58,Butler,89,Loss
09-11-2013,Quinnipiac,82,Hartford,77,Win
09-11-2013,Hartford,77,Quinnipiac,82,Loss
09-11-2013,Gonzaga,100,Bryant,76,Win
09-11-2013,Bryant,76,Gonzaga,100,Loss
09-11-2013,Delaware St,107,Cairn,48,Win
09-11-2013,Cairn,48,Delaware St,107,Loss
09-11-2013,E Kentucky,68,Kennesaw,60,Win
09-11-2013,Kennesaw,60,E Kentucky,68,Loss
09-11-2013,Temple,78,Penn,73,Win
09-11-2013,Penn,73,Temple,78,Loss
09-11-2013,Winthrop,93,Roanoke,74,Win
09-11-2013,Roanoke,74,Winthrop,93,Loss
09-11-2013,Manhattan,99,La Salle,90,Win
09-11-2013,La Salle,90,Manhattan,99,Loss
09-11-2013,Duquesne,94,Abilene Chr,75,Win
09-11-2013,Abilene Chr,75,Duquesne,94,Loss
09-11-2013,Cleveland St,73,Iona,69,Win
09-11-2013,Iona,69,Cleveland St,73,Loss
09-11-2013,Wichita St,93,Emporia St,50,Win
09-11-2013,Emporia St,50,Wichita St,93,Loss
09-11-2013,Youngstown St,74,Florida Intl,72,Win
09-11-2013,Florida Intl,72,Youngstown St,74,Loss
09-11-2013,Long Beach St,71,Hawaii Pacific,59,Win
09-11-2013,Hawaii Pacific,59,Long Beach St,71,Loss
09-11-2013,Rice,69,St Thomas TX,60,Win
09-11-2013,St Thomas TX,60,Rice,69,Loss
10-11-2013,Middle Tenn St,78,Southern Univ,75,Win
10-11-2013,Southern Univ,75,Middle Tenn St,78,Loss
10-11-2013,Elon,75,Marist,48,Win
10-11-2013,Marist,48,Elon,75,Loss
10-11-2013,E Washington,87,Pacific OR,58,Win
10-11-2013,Pacific OR,58,E Washington,87,Loss
10-11-2013,Wright St,82,Mt St Joseph,49,Win
10-11-2013,Mt St Joseph,49,Wright St,82,Loss
10-11-2013,Alcorn St,73,Tougaloo,68,Win
10-11-2013,Tougaloo,68,Alcorn St,73,Loss
10-11-2013,Florida Intl,66,Kennesaw,58,Win
10-11-2013,Kennesaw,58,Florida Intl,66,Loss
10-11-2013,Bradley,85,Alabama St,59,Win
10-11-2013,Alabama St,59,Bradley,85,Loss
10-11-2013,Iowa,83,NE Omaha,75,Win
10-11-2013,NE Omaha,75,Iowa,83,Loss
10-11-2013,Washington,88,Seattle,78,Win
10-11-2013,Seattle,78,Washington,88,Loss
10-11-2013,Coppin St,78,Oregon St,73,Win
10-11-2013,Oregon St,73,Coppin St,78,Loss
10-11-2013,Ark Pine Bluff,66,Tuskegee,64,Win
10-11-2013,Tuskegee,64,Ark Pine Bluff,66,Loss
10-11-2013,Illinois,86,Jacksonville St,62,Win
10-11-2013,Jacksonville St,62,Illinois,86,Loss
10-11-2013,S Carolina St,59,St Andrew's,55,Win
10-11-2013,St Andrew's,55,S Carolina St,59,Loss
10-11-2013,Colorado,91,TN Martin,65,Win
10-11-2013,TN Martin,65,Colorado,91,Loss
10-11-2013,Howard,83,Gwynedd-Mercy,66,Win
10-11-2013,Gwynedd-Mercy,66,Howard,83,Loss
10-11-2013,Oral Roberts,74,Tulsa,68,Win
10-11-2013,Tulsa,68,Oral Roberts,74,Loss
10-11-2013,Brown,74,Binghamton,57,Win
10-11-2013,Binghamton,57,Brown,74,Loss
10-11-2013,Loyola MD,93,Cornell,89,Win
10-11-2013,Cornell,89,Loyola MD,93,Loss
10-11-2013,Hofstra,80,F Dickinson,58,Win
10-11-2013,F Dickinson,58,Hofstra,80,Loss
10-11-2013,Maine,111,Fisher,64,Win
10-11-2013,Fisher,64,Maine,111,Loss
10-11-2013,Kentucky,93,N Kentucky,63,Win
10-11-2013,N Kentucky,63,Kentucky,93,Loss
10-11-2013,Charleston So,95,Delaware,93,Win
10-11-2013,Delaware,93,Charleston So,95,Loss
10-11-2013,Harvard,82,Holy Cross,72,Win
10-11-2013,Holy Cross,72,Harvard,82,Loss
10-11-2013,Massachusetts,86,Boston College,73,Win
10-11-2013,Boston College,73,Massachusetts,86,Loss
10-11-2013,Dartmouth,106,Lyndon St,61,Win
10-11-2013,Lyndon St,61,Dartmouth,106,Loss
10-11-2013,Youngstown St,75,E Kentucky,67,Win
10-11-2013,E Kentucky,67,Youngstown St,75,Loss
10-11-2013,Valparaiso,113,North Park,50,Win
10-11-2013,North Park,50,Valparaiso,113,Loss
10-11-2013,Stony Brook,81,Haverford,65,Win
10-11-2013,Haverford,65,Stony Brook,81,Loss
10-11-2013,Iowa St,95,UNC Wilmington,62,Win
10-11-2013,UNC Wilmington,62,Iowa St,95,Loss
10-11-2013,Boston Univ,72,Northeastern,69,Win
10-11-2013,Northeastern,69,Boston Univ,72,Loss
10-11-2013,Princeton,67,Florida A&M,50,Win
10-11-2013,Florida A&M,50,Princeton,67,Loss
10-11-2013,Notre Dame,80,Stetson,49,Win
10-11-2013,Stetson,49,Notre Dame,80,Loss
11-11-2013,SE Missouri St,118,Central Bap,56,Win
11-11-2013,Central Bap,56,SE Missouri St,118,Loss
11-11-2013,Creighton,96,Missouri KC,70,Win
11-11-2013,Missouri KC,70,Creighton,96,Loss
11-11-2013,Troy,102,LaGrange,69,Win
11-11-2013,LaGrange,69,Troy,102,Loss
11-11-2013,UC Davis,80,Holy Names,54,Win
11-11-2013,Holy Names,54,UC Davis,80,Loss
11-11-2013,Arizona,91,Long Beach St,57,Win
11-11-2013,Long Beach St,57,Arizona,91,Loss
11-11-2013,Utah Valley,78,NC A&T,71,Win
11-11-2013,NC A&T,71,Utah Valley,78,Loss
11-11-2013,Sam Houston St,116,Hillsdale Bap,54,Win
11-11-2013,Hillsdale Bap,54,Sam Houston St,116,Loss
11-11-2013,Prairie View,100,Schreiner,73,Win
11-11-2013,Schreiner,73,Prairie View,100,Loss
11-11-2013,Northern Iowa,86,Coe,52,Win
11-11-2013,Coe,52,Northern Iowa,86,Loss
11-11-2013,Arkansas St,65,Jackson St,61,Win
11-11-2013,Jackson St,61,Arkansas St,65,Loss
11-11-2013,Texas Tech,88,Northern Arizona,68,Win
11-11-2013,Northern Arizona,68,Texas Tech,88,Loss
11-11-2013,SMU,89,Rhode Island,58,Win
11-11-2013,Rhode Island,58,SMU,89,Loss
11-11-2013,Incarnate Word,74,Trinity TX,62,Win
11-11-2013,Trinity TX,62,Incarnate Word,74,Loss
11-11-2013,UMBC,84,Eastern Univ,79,Win
11-11-2013,Eastern Univ,79,UMBC,84,Loss
11-11-2013,New Mexico St,95,Hawaii,88,Win
11-11-2013,Hawaii,88,New Mexico St,95,Loss
11-11-2013,TX Southern,113,Wiley,96,Win
11-11-2013,Wiley,96,TX Southern,113,Loss
11-11-2013,Ark Pine Bluff,67,Morehouse,54,Win
11-11-2013,Morehouse,54,Ark Pine Bluff,67,Loss
11-11-2013,Houston Bap,75,Crowley's Ridge,61,Win
11-11-2013,Crowley's Ridge,61,Houston Bap,75,Loss
11-11-2013,CS Bakersfield,97,UC Merced,54,Win
11-11-2013,UC Merced,54,CS Bakersfield,97,Loss
11-11-2013,W Michigan,63,Tennessee St,52,Win
11-11-2013,Tennessee St,52,W Michigan,63,Loss
11-11-2013,Gonzaga,93,Colorado St,61,Win
11-11-2013,Colorado St,61,Gonzaga,93,Loss
11-11-2013,St Mary's CA,85,Akron,63,Win
11-11-2013,Akron,63,St Mary's CA,85,Loss
11-11-2013,Wichita St,66,W Kentucky,49,Win
11-11-2013,W Kentucky,49,Wichita St,66,Loss
11-11-2013,BYU,112,Stanford,103,Win
11-11-2013,Stanford,103,BYU,112,Loss
11-11-2013,Richmond,69,Belmont,61,Win
11-11-2013,Belmont,61,Richmond,69,Loss
11-11-2013,Kent,81,Temple,77,Win
11-11-2013,Temple,77,Kent,81,Loss
11-11-2013,St Bonaventure,75,Abilene Chr,47,Win
11-11-2013,Abilene Chr,47,St Bonaventure,75,Loss
11-11-2013,Canisius,71,South Dakota,66,Win
11-11-2013,South Dakota,66,Canisius,71,Loss
11-11-2013,Coastal Car,76,Guilford,49,Win
11-11-2013,Guilford,49,Coastal Car,76,Loss
11-11-2013,Lipscomb,88,Oakland City,78,Win
11-11-2013,Oakland City,78,Lipscomb,88,Loss
11-11-2013,Kennesaw,92,Warren Wilson,48,Win
11-11-2013,Warren Wilson,48,Kennesaw,92,Loss
11-11-2013,Georgia Tech,68,Delaware St,50,Win
11-11-2013,Delaware St,50,Georgia Tech,68,Loss
11-11-2013,Connecticut,80,Yale,62,Win
11-11-2013,Yale,62,Connecticut,80,Loss
11-11-2013,North Florida,72,Ark Little Rock,70,Win
11-11-2013,Ark Little Rock,70,North Florida,72,Loss
11-11-2013,Miami FL,81,Ga Southern,80,Win
