Date,Team,Opponent,Team Score,Opponent Score,Team Result
10-03-2013,Albany NY,Stony Brook,61,59,Win
10-03-2013,Stony Brook,Albany NY,59,61,Loss
10-03-2013,Indiana,Michigan,72,71,Win
10-03-2013,Michigan,Indiana,71,72,Loss
10-03-2013,Michigan St,Northwestern,71,61,Win
10-03-2013,Northwestern,Michigan St,61,71,Loss
10-03-2013,Ohio St,Illinois,68,55,Win
10-03-2013,Illinois,Ohio St,55,68,Loss
10-03-2013,Wisconsin,Penn St,63,60,Win
10-03-2013,Penn St,Wisconsin,60,63,Loss
10-03-2013,Temple,VA Commonwealth,84,76,Win
10-03-2013,VA Commonwealth,Temple,76,84,Loss
10-03-2013,Virginia,Maryland,61,58,Win
10-03-2013,Maryland,Virginia,58,61,Loss
10-03-2013,Wake Forest,Virginia Tech,90,79,Win
10-03-2013,Virginia Tech,Wake Forest,79,90,Loss
09-03-2013,Air Force,New Mexico,89,88,Win
09-03-2013,New Mexico,Air Force,88,89,Loss
09-03-2013,Kent,Akron,68,64,Win
09-03-2013,Akron,Kent,64,68,Loss
09-03-2013,Alabama,Georgia,61,58,Win
09-03-2013,Georgia,Alabama,58,61,Loss
09-03-2013,Albany NY,Maine,50,49,Win
09-03-2013,Maine,Albany NY,49,50,Loss
09-03-2013,Arizona,Arizona St,73,58,Win
09-03-2013,Arizona St,Arizona,58,73,Loss
09-03-2013,Arkansas,Texas A&M,73,62,Win
09-03-2013,Texas A&M,Arkansas,62,73,Loss
09-03-2013,Ball St,N Illinois,53,51,Win
09-03-2013,N Illinois,Ball St,51,53,Loss
09-03-2013,Baylor,Kansas,81,58,Win
09-03-2013,Kansas,Baylor,58,81,Loss
09-03-2013,Boise St,San Diego St,69,65,Win
09-03-2013,San Diego St,Boise St,65,69,Loss
09-03-2013,Boston College,Georgia Tech,74,72,Win
09-03-2013,Georgia Tech,Boston College,72,74,Loss
09-03-2013,Bowling Green,Buffalo,76,65,Win
09-03-2013,Buffalo,Bowling Green,65,76,Loss
09-03-2013,Brown,Princeton,80,67,Win
09-03-2013,Princeton,Brown,67,80,Loss
09-03-2013,Bucknell,Army,78,70,Win
09-03-2013,Army,Bucknell,70,78,Loss
09-03-2013,Butler,Xavier,67,62,Win
09-03-2013,Xavier,Butler,62,67,Loss
09-03-2013,Cal Poly SLO,CS Fullerton,62,60,Win
09-03-2013,CS Fullerton,Cal Poly SLO,60,62,Loss
09-03-2013,Cent Arkansas,Oral Roberts,86,84,Win
09-03-2013,Oral Roberts,Cent Arkansas,84,86,Loss
09-03-2013,Charlotte,St Joseph's PA,52,40,Win
09-03-2013,St Joseph's PA,Charlotte,40,52,Loss
09-03-2013,Cincinnati,South Florida,61,53,Win
09-03-2013,South Florida,Cincinnati,53,61,Loss
09-03-2013,Oregon St,Colorado,64,58,Win
09-03-2013,Colorado,Oregon St,58,64,Loss
09-03-2013,Colorado St,Nevada,77,66,Win
09-03-2013,Nevada,Colorado St,66,77,Loss
09-03-2013,Connecticut,Providence,63,59,Win
09-03-2013,Providence,Connecticut,59,63,Loss
09-03-2013,Dartmouth,Columbia,64,58,Win
09-03-2013,Columbia,Dartmouth,58,64,Loss
09-03-2013,Denver,Louisiana Tech,78,54,Win
09-03-2013,Louisiana Tech,Denver,54,78,Loss
09-03-2013,Pittsburgh,DePaul,81,66,Win
09-03-2013,DePaul,Pittsburgh,66,81,Loss
09-03-2013,Toledo,E Michigan,78,67,Win
09-03-2013,E Michigan,Toledo,67,78,Loss
09-03-2013,East Carolina,Marshall,86,79,Win
09-03-2013,Marshall,East Carolina,79,86,Loss
09-03-2013,Florida St,NC State,71,67,Win
09-03-2013,NC State,Florida St,67,71,Loss
09-03-2013,G Washington,Dayton,81,80,Win
09-03-2013,Dayton,G Washington,80,81,Loss
09-03-2013,Georgetown,Syracuse,61,39,Win
09-03-2013,Syracuse,Georgetown,39,61,Loss
09-03-2013,Harvard,Cornell,65,56,Win
09-03-2013,Cornell,Harvard,56,65,Loss
09-03-2013,Chicago St,Houston Bap,71,58,Win
09-03-2013,Houston Bap,Chicago St,58,71,Loss
09-03-2013,Idaho,Seattle,76,72,Win
09-03-2013,Seattle,Idaho,72,76,Loss
09-03-2013,Idaho St,Portland St,72,71,Win
09-03-2013,Portland St,Idaho St,71,72,Loss
09-03-2013,Iowa,Nebraska,74,60,Win
09-03-2013,Nebraska,Iowa,60,74,Loss
09-03-2013,Kentucky,Florida,61,57,Win
09-03-2013,Florida,Kentucky,57,61,Loss
09-03-2013,Lafayette,Lehigh,82,69,Win
09-03-2013,Lehigh,Lafayette,69,82,Loss
09-03-2013,Louisville,Notre Dame,73,57,Win
09-03-2013,Notre Dame,Louisville,57,73,Loss
09-03-2013,Mississippi,LSU,81,67,Win
09-03-2013,LSU,Mississippi,67,81,Loss
09-03-2013,Memphis,UAB,86,71,Win
09-03-2013,UAB,Memphis,71,86,Loss
09-03-2013,FL Gulf Coast,Mercer,88,75,Win
09-03-2013,Mercer,FL Gulf Coast,75,88,Loss
09-03-2013,Miami FL,Clemson,62,49,Win
09-03-2013,Clemson,Miami FL,49,62,Loss
09-03-2013,Mississippi St,Auburn,74,71,Win
09-03-2013,Auburn,Mississippi St,71,74,Loss
09-03-2013,Montana,Northern Arizona,63,50,Win
09-03-2013,Northern Arizona,Montana,50,63,Loss
09-03-2013,Montana St,CS Sacramento,71,55,Win
09-03-2013,CS Sacramento,Montana St,55,71,Loss
09-03-2013,New Mexico St,UT Arlington,69,66,Win
09-03-2013,UT Arlington,New Mexico St,66,69,Loss
09-03-2013,McNeese St,Nicholls St,91,88,Win
09-03-2013,Nicholls St,McNeese St,88,91,Loss
09-03-2013,Duke,North Carolina,69,53,Win
09-03-2013,North Carolina,Duke,53,69,Loss
09-03-2013,North Dakota,Southern Utah,68,61,Win
09-03-2013,Southern Utah,North Dakota,61,68,Loss
09-03-2013,Northwestern LA,Sam Houston St,84,73,Win
09-03-2013,Sam Houston St,Northwestern LA,73,84,Loss
09-03-2013,Ohio,Miami OH,58,54,Win
09-03-2013,Miami OH,Ohio,54,58,Loss
09-03-2013,Oklahoma St,Kansas St,76,70,Win
09-03-2013,Kansas St,Oklahoma St,70,76,Loss
09-03-2013,Pacific,Long Beach St,71,51,Win
09-03-2013,Long Beach St,Pacific,51,71,Loss
09-03-2013,Purdue,Minnesota,89,73,Win
09-03-2013,Minnesota,Purdue,73,89,Loss
09-03-2013,Massachusetts,Rhode Island,75,66,Win
09-03-2013,Rhode Island,Massachusetts,66,75,Loss
09-03-2013,Tulsa,Rice,77,71,Win
09-03-2013,Rice,Tulsa,71,77,Loss
09-03-2013,Richmond,Duquesne,79,55,Win
09-03-2013,Duquesne,Richmond,55,79,Loss
09-03-2013,Mt St Mary's,Robert Morris,69,60,Win
09-03-2013,Robert Morris,Mt St Mary's,60,69,Loss
09-03-2013,Texas St,San Jose St,90,67,Win
09-03-2013,San Jose St,Texas St,67,90,Loss
09-03-2013,Santa Barbara,UC Riverside,56,46,Win
09-03-2013,UC Riverside,Santa Barbara,46,56,Loss
09-03-2013,SE Louisiana,Lamar,86,72,Win
09-03-2013,Lamar,SE Louisiana,72,86,Loss
09-03-2013,SF Austin,TAM C. Christi,58,49,Win
09-03-2013,TAM C. Christi,SF Austin,49,58,Loss
09-03-2013,UTEP,SMU,76,63,Win
09-03-2013,SMU,UTEP,63,76,Loss
09-03-2013,Southern Miss,UCF,70,62,Win
09-03-2013,UCF,Southern Miss,62,70,Loss
09-03-2013,Fordham,St Bonaventure,76,72,Win
09-03-2013,St Bonaventure,Fordham,72,76,Loss
09-03-2013,Marquette,St John's,69,67,Win
09-03-2013,St John's,Marquette,67,69,Loss
09-03-2013,St Louis,La Salle,78,54,Win
09-03-2013,La Salle,St Louis,54,78,Loss
09-03-2013,TCU,Oklahoma,70,67,Win
09-03-2013,Oklahoma,TCU,67,70,Loss
09-03-2013,Tennessee,Missouri,64,62,Win
09-03-2013,Missouri,Tennessee,62,64,Loss
09-03-2013,Texas,Texas Tech,71,69,Win
09-03-2013,Texas Tech,Texas,69,71,Loss
09-03-2013,Houston,Tulane,96,94,Win
09-03-2013,Tulane,Houston,94,96,Loss
09-03-2013,TX Pan American,NJIT,76,59,Win
09-03-2013,NJIT,TX Pan American,59,76,Loss
09-03-2013,UC Irvine,UC Davis,88,85,Win
09-03-2013,UC Davis,UC Irvine,85,88,Loss
09-03-2013,Fresno St,UNLV,61,52,Win
09-03-2013,UNLV,Fresno St,52,61,Loss
09-03-2013,Utah,Oregon,72,62,Win
09-03-2013,Oregon,Utah,62,72,Loss
09-03-2013,Utah St,UT San Antonio,71,51,Win
09-03-2013,UT San Antonio,Utah St,51,71,Loss
09-03-2013,CS Bakersfield,Utah Valley,73,58,Win
09-03-2013,Utah Valley,CS Bakersfield,58,73,Loss
09-03-2013,Valparaiso,WI Green Bay,70,69,Win
09-03-2013,WI Green Bay,Valparaiso,69,70,Loss
09-03-2013,Vanderbilt,South Carolina,74,64,Win
09-03-2013,South Carolina,Vanderbilt,64,74,Loss
09-03-2013,W Michigan,C Michigan,71,68,Win
09-03-2013,C Michigan,W Michigan,68,71,Loss
09-03-2013,Long Island,Wagner,94,82,Win
09-03-2013,Wagner,Long Island,82,94,Loss
09-03-2013,UCLA,Washington,61,54,Win
09-03-2013,Washington,UCLA,54,61,Loss
09-03-2013,Washington St,USC,76,51,Win
09-03-2013,USC,Washington St,51,76,Loss
09-03-2013,Weber St,E Washington,65,57,Win
09-03-2013,E Washington,Weber St,57,65,Loss
09-03-2013,Iowa St,West Virginia,83,74,Win
09-03-2013,West Virginia,Iowa St,74,83,Loss
09-03-2013,Yale,Penn,79,65,Win
09-03-2013,Penn,Yale,65,79,Loss
08-03-2013,Kent,Akron,68,64,Win
08-03-2013,Akron,Kent,64,68,Loss
08-03-2013,Bowling Green,Buffalo,76,65,Win
08-03-2013,Buffalo,Bowling Green,65,76,Loss
08-03-2013,Penn,Brown,66,64,Win
08-03-2013,Brown,Penn,64,66,Loss
08-03-2013,Dartmouth,Cornell,76,62,Win
08-03-2013,Cornell,Dartmouth,62,76,Loss
08-03-2013,Harvard,Columbia,56,51,Win
08-03-2013,Columbia,Harvard,51,56,Loss
08-03-2013,Mercer,SC Upstate,72,64,Win
08-03-2013,SC Upstate,Mercer,64,72,Loss
08-03-2013,Rutgers,Seton Hall,56,51,Win
08-03-2013,Seton Hall,Rutgers,51,56,Loss
08-03-2013,Yale,Princeton,71,66,Win
08-03-2013,Princeton,Yale,66,71,Loss
07-03-2013,Cal Poly SLO,UC Riverside,68,62,Win
07-03-2013,UC Riverside,Cal Poly SLO,62,68,Loss
07-03-2013,Colorado,Oregon,76,53,Win
07-03-2013,Oregon,Colorado,53,76,Loss
07-03-2013,Coppin St,Bethune-Cookman,69,61,Win
07-03-2013,Bethune-Cookman,Coppin St,61,69,Loss
07-03-2013,CS Northridge,Hawaii,88,75,Win
07-03-2013,Hawaii,CS Northridge,75,88,Loss
07-03-2013,Denver,UT Arlington,84,55,Win
07-03-2013,UT Arlington,Denver,55,84,Loss
07-03-2013,Florida St,Virginia,53,51,Win
07-03-2013,Virginia,Florida St,51,53,Loss
07-03-2013,Georgia,Kentucky,72,62,Win
07-03-2013,Kentucky,Georgia,62,72,Loss
07-03-2013,NC Central,Hampton,68,64,Win
07-03-2013,Hampton,NC Central,64,68,Loss
07-03-2013,E Washington,Idaho St,87,73,Win
07-03-2013,Idaho St,E Washington,73,87,Loss
07-03-2013,Butler,Massachusetts,73,62,Win
07-03-2013,Massachusetts,Butler,62,73,Loss
07-03-2013,Michigan St,Wisconsin,58,43,Win
07-03-2013,Wisconsin,Michigan St,43,58,Loss
07-03-2013,Montana,CS Sacramento,63,52,Win
07-03-2013,CS Sacramento,Montana,52,63,Loss
07-03-2013,Montana St,Northern Arizona,83,79,Win
07-03-2013,Northern Arizona,Montana St,79,83,Loss
07-03-2013,Morgan St,Florida A&M,78,67,Win
07-03-2013,Florida A&M,Morgan St,67,78,Loss
07-03-2013,N Colorado,Southern Utah,66,58,Win
07-03-2013,Southern Utah,N Colorado,58,66,Loss
07-03-2013,New Mexico St,Louisiana Tech,78,60,Win
07-03-2013,Louisiana Tech,New Mexico St,60,78,Loss
07-03-2013,Nicholls St,Lamar,90,63,Win
07-03-2013,Lamar,Nicholls St,63,90,Loss
07-03-2013,Norfolk St,NC A&T,55,48,Win
07-03-2013,NC A&T,Norfolk St,48,55,Loss
07-03-2013,Penn St,Northwestern,66,59,Win
07-03-2013,Northwestern,Penn St,59,66,Loss
07-03-2013,Northwestern LA,TAM C. Christi,66,51,Win
07-03-2013,TAM C. Christi,Northwestern LA,51,66,Loss
07-03-2013,Pacific,UC Irvine,70,62,Win
07-03-2013,UC Irvine,Pacific,62,70,Loss
07-03-2013,S Carolina St,Delaware St,62,60,Win
07-03-2013,Delaware St,S Carolina St,60,62,Loss
07-03-2013,Santa Barbara,CS Fullerton,66,50,Win
07-03-2013,CS Fullerton,Santa Barbara,50,66,Loss
07-03-2013,Savannah St,MD E Shore,71,54,Win
07-03-2013,MD E Shore,Savannah St,54,71,Loss
07-03-2013,SE Louisiana,McNeese St,79,68,Win
07-03-2013,McNeese St,SE Louisiana,68,79,Loss
07-03-2013,SF Austin,Sam Houston St,57,42,Win
07-03-2013,Sam Houston St,SF Austin,42,57,Loss
07-03-2013,Long Beach St,UC Davis,77,76,Win
07-03-2013,UC Davis,Long Beach St,76,77,Loss
07-03-2013,Utah,Oregon St,72,61,Win
07-03-2013,Oregon St,Utah,61,72,Loss
07-03-2013,Utah St,Texas St,77,61,Win
07-03-2013,Texas St,Utah St,61,77,Loss
07-03-2013,Weber St,Portland St,80,52,Win
07-03-2013,Portland St,Weber St,52,80,Loss
06-03-2013,Army,American Univ,65,44,Win
06-03-2013,American Univ,Army,44,65,Loss
06-03-2013,Tennessee,Auburn,82,75,Win
06-03-2013,Auburn,Tennessee,75,82,Loss
06-03-2013,Mt St Mary's,Bryant,75,69,Win
06-03-2013,Bryant,Mt St Mary's,69,75,Loss
06-03-2013,Bucknell,Navy,58,42,Win
06-03-2013,Navy,Bucknell,42,58,Loss
06-03-2013,Stanford,California,83,70,Win
06-03-2013,California,Stanford,70,83,Loss
06-03-2013,Dayton,St Bonaventure,75,63,Win
06-03-2013,St Bonaventure,Dayton,63,75,Loss
06-03-2013,Charlotte,Duquesne,89,87,Win
06-03-2013,Duquesne,Charlotte,87,89,Loss
06-03-2013,East Carolina,Tulane,88,85,Win
06-03-2013,Tulane,East Carolina,85,88,Loss
06-03-2013,Florida,Vanderbilt,66,40,Win
06-03-2013,Vanderbilt,Florida,40,66,Loss
06-03-2013,Temple,Fordham,74,55,Win
06-03-2013,Fordham,Temple,55,74,Loss
06-03-2013,Houston,Rice,84,62,Win
06-03-2013,Rice,Houston,62,84,Loss
06-03-2013,Iowa St,Oklahoma St,87,76,Win
06-03-2013,Oklahoma St,Iowa St,76,87,Loss
06-03-2013,La Salle,G Washington,84,70,Win
06-03-2013,G Washington,La Salle,70,84,Loss
06-03-2013,Lafayette,Holy Cross,77,54,Win
06-03-2013,Holy Cross,Lafayette,54,77,Loss
06-03-2013,Lehigh,Colgate,71,64,Win
06-03-2013,Colgate,Lehigh,64,71,Loss
06-03-2013,Long Island,Quinnipiac,91,83,Win
06-03-2013,Quinnipiac,Long Island,83,91,Loss
06-03-2013,Marshall,Southern Miss,88,84,Win
06-03-2013,Southern Miss,Marshall,84,88,Loss
06-03-2013,North Carolina,Maryland,79,68,Win
06-03-2013,Maryland,North Carolina,68,79,Loss
06-03-2013,Mercer,Lipscomb,82,48,Win
06-03-2013,Lipscomb,Mercer,48,82,Loss
06-03-2013,Georgia Tech,Miami FL,71,69,Win
06-03-2013,Miami FL,Georgia Tech,69,71,Loss
06-03-2013,NC State,Wake Forest,81,66,Win
06-03-2013,Wake Forest,NC State,66,81,Loss
06-03-2013,Nebraska,Minnesota,53,51,Win
06-03-2013,Minnesota,Nebraska,51,53,Loss
06-03-2013,New Mexico,Nevada,75,62,Win
06-03-2013,Nevada,New Mexico,62,75,Loss
06-03-2013,Oklahoma,West Virginia,83,70,Win
06-03-2013,West Virginia,Oklahoma,70,83,Loss
06-03-2013,Michigan,Purdue,80,75,Win
06-03-2013,Purdue,Michigan,75,80,Loss
06-03-2013,Robert Morris,St Francis NY,75,57,Win
06-03-2013,St Francis NY,Robert Morris,57,75,Loss
06-03-2013,San Diego St,Air Force,58,51,Win
06-03-2013,Air Force,San Diego St,51,58,Loss
06-03-2013,CS Bakersfield,Seattle,75,74,Win
06-03-2013,Seattle,CS Bakersfield,74,75,Loss
06-03-2013,South Carolina,Mississippi St,79,72,Win
06-03-2013,Mississippi St,South Carolina,72,79,Loss
06-03-2013,South Florida,Connecticut,65,51,Win
06-03-2013,Connecticut,South Florida,51,65,Loss
06-03-2013,St Joseph's PA,Rhode Island,81,44,Win
06-03-2013,Rhode Island,St Joseph's PA,44,81,Loss
06-03-2013,Syracuse,DePaul,78,57,Win
06-03-2013,DePaul,Syracuse,57,78,Loss
06-03-2013,LSU,Texas A&M,68,57,Win
06-03-2013,Texas A&M,LSU,57,68,Loss
06-03-2013,SMU,Tulsa,71,65,Win
06-03-2013,Tulsa,SMU,65,71,Loss
06-03-2013,UCF,UAB,74,70,Win
06-03-2013,UAB,UCF,70,74,Loss
06-03-2013,UNLV,Boise St,68,64,Win
06-03-2013,Boise St,UNLV,64,68,Loss
06-03-2013,VA Commonwealth,Richmond,93,82,Win
06-03-2013,Richmond,VA Commonwealth,82,93,Loss
06-03-2013,Villanova,Georgetown,67,57,Win
06-03-2013,Georgetown,Villanova,57,67,Loss
06-03-2013,Wagner,Central Conn,72,50,Win
06-03-2013,Central Conn,Wagner,50,72,Loss
06-03-2013,Washington,USC,65,57,Win
06-03-2013,USC,Washington,57,65,Loss
06-03-2013,Washington St,UCLA,73,61,Win
06-03-2013,UCLA,Washington St,61,73,Loss
06-03-2013,Colorado St,Wyoming,78,56,Win
06-03-2013,Wyoming,Colorado St,56,78,Loss
06-03-2013,Xavier,St Louis,77,66,Win
06-03-2013,St Louis,Xavier,66,77,Loss
05-03-2013,Akron,Miami OH,72,58,Win
05-03-2013,Miami OH,Akron,58,72,Loss
05-03-2013,Ohio,Buffalo,72,69,Win
05-03-2013,Buffalo,Ohio,69,72,Loss
05-03-2013,C Michigan,E Michigan,61,59,Win
05-03-2013,E Michigan,C Michigan,59,61,Loss
05-03-2013,Boston College,Clemson,68,61,Win
05-03-2013,Clemson,Boston College,61,68,Loss
05-03-2013,Liberty,Coastal Car,78,61,Win
05-03-2013,Coastal Car,Liberty,61,78,Loss
05-03-2013,Duke,Virginia Tech,85,57,Win
05-03-2013,Virginia Tech,Duke,57,85,Loss
05-03-2013,IL Chicago,Cleveland St,82,59,Win
05-03-2013,Cleveland St,IL Chicago,59,82,Loss
05-03-2013,Ohio St,Indiana,67,58,Win
05-03-2013,Indiana,Ohio St,58,67,Loss
05-03-2013,Iowa,Illinois,63,55,Win
05-03-2013,Illinois,Iowa,55,63,Loss
05-03-2013,Kansas St,TCU,79,68,Win
05-03-2013,TCU,Kansas St,68,79,Loss
05-03-2013,Kent,Bowling Green,69,61,Win
05-03-2013,Bowling Green,Kent,61,69,Loss
05-03-2013,Marshall,Southern Miss,88,84,Win
05-03-2013,Southern Miss,Marshall,84,88,Loss
05-03-2013,Mississippi,Alabama,87,83,Win
05-03-2013,Alabama,Mississippi,83,87,Loss
05-03-2013,Missouri,Arkansas,93,63,Win
05-03-2013,Arkansas,Missouri,63,93,Loss
05-03-2013,Notre Dame,St John's,66,40,Win
05-03-2013,St John's,Notre Dame,40,66,Loss
05-03-2013,Providence,Seton Hall,76,66,Win
05-03-2013,Seton Hall,Providence,66,76,Loss
05-03-2013,Marquette,Rutgers,60,54,Win
05-03-2013,Rutgers,Marquette,54,60,Loss
05-03-2013,Toledo,N Illinois,70,46,Win
05-03-2013,N Illinois,Toledo,46,70,Loss
05-03-2013,UNLV,Boise St,68,64,Win
05-03-2013,Boise St,UNLV,64,68,Loss
05-03-2013,Memphis,UTEP,56,54,Win
05-03-2013,UTEP,Memphis,54,56,Loss
05-03-2013,Ball St,W Michigan,89,85,Win
05-03-2013,W Michigan,Ball St,85,89,Loss
05-03-2013,WI Green Bay,WI Milwaukee,62,46,Win
05-03-2013,WI Milwaukee,WI Green Bay,46,62,Loss
05-03-2013,Youngstown St,Loyola-Chicago,62,60,Win
05-03-2013,Loyola-Chicago,Youngstown St,60,62,Loss
04-03-2013,Coppin St,MD E Shore,63,60,Win
04-03-2013,MD E Shore,Coppin St,60,63,Loss
04-03-2013,Hampton,Bethune-Cookman,75,66,Win
04-03-2013,Bethune-Cookman,Hampton,66,75,Loss
04-03-2013,Kansas,Texas Tech,79,42,Win
04-03-2013,Texas Tech,Kansas,42,79,Loss
04-03-2013,Louisville,Cincinnati,67,51,Win
04-03-2013,Cincinnati,Louisville,51,67,Loss
04-03-2013,Morgan St,Delaware St,66,47,Win
04-03-2013,Delaware St,Morgan St,47,66,Loss
04-03-2013,NC A&T,Savannah St,59,57,Win
04-03-2013,Savannah St,NC A&T,57,59,Loss
04-03-2013,NC Central,S Carolina St,62,54,Win
04-03-2013,S Carolina St,NC Central,54,62,Loss
04-03-2013,Norfolk St,Florida A&M,69,58,Win
04-03-2013,Florida A&M,Norfolk St,58,69,Loss
04-03-2013,Montana,Southern Utah,86,74,Win
04-03-2013,Southern Utah,Montana,74,86,Loss
04-03-2013,Texas,Baylor,79,70,Win
04-03-2013,Baylor,Texas,70,79,Loss
03-03-2013,Boston College,Virginia,53,52,Win
03-03-2013,Virginia,Boston College,52,53,Loss
03-03-2013,NC State,Georgia Tech,70,57,Win
03-03-2013,Georgia Tech,NC State,57,70,Loss
03-03-2013,Iona,Siena,80,61,Win
03-03-2013,Siena,Iona,61,80,Loss
03-03-2013,Loyola MD,Manhattan,63,61,Win
03-03-2013,Manhattan,Loyola MD,61,63,Loss
03-03-2013,Marist,Fairfield,73,60,Win
03-03-2013,Fairfield,Marist,60,73,Loss
03-03-2013,MD Baltimore Co,Binghamton,59,49,Win
03-03-2013,Binghamton,MD Baltimore Co,49,59,Loss
03-03-2013,New Hampshire,Maine,79,74,Win
03-03-2013,Maine,New Hampshire,74,79,Loss
03-03-2013,North Carolina,Florida St,79,58,Win
03-03-2013,Florida St,North Carolina,58,79,Loss
03-03-2013,Pittsburgh,Villanova,73,64,Win
03-03-2013,Villanova,Pittsburgh,64,73,Loss
03-03-2013,South Florida,DePaul,83,73,Win
03-03-2013,DePaul,South Florida,73,83,Loss
03-03-2013,Stanford,Utah,84,66,Win
03-03-2013,Utah,Stanford,66,84,Loss
03-03-2013,Stony Brook,Albany NY,75,70,Win
03-03-2013,Albany NY,Stony Brook,70,75,Loss
03-03-2013,TX Pan American,New Orleans,71,57,Win
03-03-2013,New Orleans,TX Pan American,57,71,Loss
03-03-2013,Hartford,Vermont,61,58,Win
03-03-2013,Vermont,Hartford,58,61,Loss
03-03-2013,Washington,Washington St,72,68,Win
03-03-2013,Washington St,Washington,68,72,Loss
02-03-2013,Appalachian St,Chattanooga,86,60,Win
02-03-2013,Chattanooga,Appalachian St,60,86,Loss
02-03-2013,Ark Little Rock,Arkansas St,78,71,Win
02-03-2013,Arkansas St,Ark Little Rock,71,78,Loss
02-03-2013,Arkansas,Kentucky,73,60,Win
02-03-2013,Kentucky,Arkansas,60,73,Loss
02-03-2013,Vanderbilt,Auburn,62,55,Win
02-03-2013,Auburn,Vanderbilt,55,62,Loss
02-03-2013,Austin Peay,TN Martin,91,58,Win
02-03-2013,TN Martin,Austin Peay,58,91,Loss
02-03-2013,Kansas St,Baylor,64,61,Win
02-03-2013,Baylor,Kansas St,61,64,Loss
02-03-2013,Belmont,Jacksonville St,78,71,Win
02-03-2013,Jacksonville St,Belmont,71,78,Loss
02-03-2013,Boise St,Colorado St,78,65,Win
02-03-2013,Colorado St,Boise St,65,78,Loss
02-03-2013,Ohio,Bowling Green,78,65,Win
02-03-2013,Bowling Green,Ohio,65,78,Loss
02-03-2013,Bryant,St Francis PA,85,60,Win
02-03-2013,St Francis PA,Bryant,60,85,Loss
02-03-2013,Buffalo,Akron,81,67,Win
02-03-2013,Akron,Buffalo,67,81,Loss
02-03-2013,California,Colorado,62,46,Win
02-03-2013,Colorado,California,46,62,Loss
02-03-2013,Rider,Canisius,65,61,Win
02-03-2013,Canisius,Rider,61,65,Loss
02-03-2013,Robert Morris,Central Conn,81,61,Win
02-03-2013,Central Conn,Robert Morris,61,81,Loss
02-03-2013,Charleston So,Coastal Car,75,64,Win
02-03-2013,Coastal Car,Charleston So,64,75,Loss
02-03-2013,Cincinnati,Connecticut,61,56,Win
02-03-2013,Connecticut,Cincinnati,56,61,Loss
02-03-2013,Brown,Columbia,61,58,Win
02-03-2013,Columbia,Brown,58,61,Loss
02-03-2013,Yale,Cornell,79,70,Win
02-03-2013,Cornell,Yale,70,79,Loss
02-03-2013,Creighton,Wichita St,91,79,Win
02-03-2013,Wichita St,Creighton,79,91,Loss
02-03-2013,UC Davis,CS Fullerton,71,68,Win
02-03-2013,CS Fullerton,UC Davis,68,71,Loss
02-03-2013,Santa Barbara,CS Northridge,83,74,Win
02-03-2013,CS Northridge,Santa Barbara,74,83,Loss
02-03-2013,CS Sacramento,Idaho St,53,52,Win
02-03-2013,Idaho St,CS Sacramento,52,53,Loss
02-03-2013,Davidson,Ga Southern,83,48,Win
02-03-2013,Ga Southern,Davidson,48,83,Loss
02-03-2013,Dayton,Richmond,78,74,Win
02-03-2013,Richmond,Dayton,74,78,Loss
02-03-2013,Delaware,George Mason,82,77,Win
02-03-2013,George Mason,Delaware,77,82,Loss
02-03-2013,Denver,New Mexico St,66,60,Win
02-03-2013,New Mexico St,Denver,60,66,Loss
02-03-2013,S Illinois,Drake,66,63,Win
02-03-2013,Drake,S Illinois,63,66,Loss
02-03-2013,Drexel,UNC Wilmington,62,46,Win
02-03-2013,UNC Wilmington,Drexel,46,62,Loss
02-03-2013,Duke,Miami FL,79,76,Win
02-03-2013,Miami FL,Duke,76,79,Loss
02-03-2013,E Illinois,Edwardsville,61,46,Win
02-03-2013,Edwardsville,E Illinois,46,61,Loss
02-03-2013,E Michigan,W Michigan,50,49,Win
02-03-2013,W Michigan,E Michigan,49,50,Loss
02-03-2013,North Dakota,E Washington,78,74,Win
02-03-2013,E Washington,North Dakota,74,78,Loss
02-03-2013,Elon,UNC Greensboro,80,66,Win
02-03-2013,UNC Greensboro,Elon,66,80,Loss
02-03-2013,Evansville,Indiana St,84,68,Win
02-03-2013,Indiana St,Evansville,68,84,Loss
02-03-2013,Mt St Mary's,F Dickinson,103,82,Win
02-03-2013,F Dickinson,Mt St Mary's,82,103,Loss
02-03-2013,FL Atlantic,Florida Intl,77,60,Win
02-03-2013,Florida Intl,FL Atlantic,60,77,Loss
02-03-2013,FL Gulf Coast,Kennesaw,67,49,Win
02-03-2013,Kennesaw,FL Gulf Coast,49,67,Loss
02-03-2013,Florida,Alabama,64,52,Win
02-03-2013,Alabama,Florida,52,64,Loss
02-03-2013,Fresno St,Air Force,56,41,Win
02-03-2013,Air Force,Fresno St,41,56,Loss
02-03-2013,Col Charleston,Furman,74,50,Win
02-03-2013,Furman,Col Charleston,50,74,Loss
02-03-2013,St Louis,G Washington,66,58,Win
02-03-2013,G Washington,St Louis,58,66,Loss
02-03-2013,Gardner Webb,Presbyterian,76,57,Win
02-03-2013,Presbyterian,Gardner Webb,57,76,Loss
02-03-2013,Georgetown,Rutgers,64,51,Win
02-03-2013,Rutgers,Georgetown,51,64,Loss
02-03-2013,Georgia,Tennessee,78,68,Win
02-03-2013,Tennessee,Georgia,68,78,Loss
